Color	Shape	Species	shell_height	penislenght	epiphallus_lenght	vagina_lenght	free_oviduct_lenght	duct_of_bursa_copulatrix_lenght	diverticulum_lenght	bursa_copulatrix_lenght	penisrelativelenght	epiphallus_relative_lenght	vagina_relative_lenght	free_oviduct_relative_lenght	duct_of_bursa_copulatrix_relative_lenght	diverticulum_relative_lenght	bursa_copulatrix_relative_lenght	atrium_type_simplified	penis_types_simplified	epiphallus_type_simplified	penial_papilla_type_simplified	distal_vagina_type_simplified	M. proximal_vagina_type_simplified	1neck_inflection	4peristome_position	5lam_superior_vs_spiralis	7lam_sub_bending	8lunella_position	9plica_basalis	
#FF6666	21	M. edmundi	22.3	4.7	3.5	3.6	1.1	0.9	3.3	2.2	21.1	15.7	16.1	4.9	4.0	14.8	9.9	2.0	2.0	1.0	6.0	1.0	1.0	2.0	3.0	1.0	1.0	1.0	1.0	
#FF6666	21	M. edmundi	22.5	5.0	3.2	3.8	1.3	0.9	3.4	2.1	22.2	14.2	16.9	5.8	4.0	15.1	9.3	2.0	2.0	1.0	6.0	1.0	1.0	2.0	3.0	1.0	1.0	1.0	1.0	
#FF6666	22	M. fuchsi	13.6	1.7	1.4	3.0	0.7	1.0	1.4	1.8	12.5	10.3	22.1	5.1	7.4	10.3	13.2	3.0	2.0	1.0	4.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	
#FF6666	22	M. fuchsi	13.5	1.7	1.4	3.1	0.6	1.2	1.5	1.7	12.6	10.4	23.0	4.4	8.9	11.1	12.6	3.0	2.0	1.0	4.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	
#FF6666	22	M. fuchsi	13.4	1.6	1.5	3.5	0.7	1.1	1.5	1.8	11.9	11.2	26.1	5.2	8.2	11.2	13.4	3.0	2.0	1.0	4.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	
#FF6666	24	M. golikutensis	17.2	1.7	1.9	4.1	0.3	0.5	1.3	2.8	9.9	11.0	23.8	1.7	2.9	7.6	16.3	1.0	1.0	1.0	6.0	1.0	1.0	2.0	3.0	2.0	1.0	1.0	2.0	
#FF6666	24	M. golikutensis	17.3	1.8	1.9	4.0	0.2	0.5	1.4	3.0	10.4	11.0	23.1	1.2	2.9	8.1	17.3	1.0	1.0	1.0	6.0	1.0	1.0	2.0	3.0	2.0	1.0	1.0	2.0	
#FF6666	25	M. gregoi	18.9	1.8	3.6	6.1	2.1	1.1	5.2	5.6	9.5	19.0	32.3	11.1	5.8	27.5	29.6	1.0	1.0	1.0	6.0	1.0	1.0	2.0	3.0	2.0	1.0	1.0	1.0	
#FF6666	25	M. gregoi	18.9	1.9	3.6	6.5	2.0	1.2	5.0	5.3	10.1	19.0	34.4	10.6	6.3	26.5	28.0	1.0	1.0	1.0	6.0	1.0	1.0	2.0	3.0	2.0	1.0	1.0	1.0	
#FF6666	23	M. janinensis crassilabris	16.6	1.3	1.6	0.9	0.8	0.6	2.2	1.2	7.8	9.6	5.4	4.8	3.6	13.3	7.2	3.0	4.0	1.0	3.0	3.0	2.0	1.0	3.0	1.0	1.0	1.0	2.0	
#FF6666	23	M. janinensis crassilabris	16.3	1.2	1.6	0.7	0.8	0.7	2.2	1.3	7.4	9.8	4.3	4.9	4.3	13.5	8.0	3.0	4.0	1.0	3.0	3.0	2.0	1.0	3.0	1.0	1.0	1.0	2.0	
#FF6666	23	M. janinensis	15.4	2.4	1.9	1.5	0.5	0.5	2.8	1.7	15.6	12.3	9.7	3.2	3.2	18.2	11.0	3.0	3.0	1.0	1.0	3.0	2.0	1.0	3.0	1.0	1.0	1.0	2.0	
#FF6666	23	M. janinensis	15.2	2.4	1.8	1.3	0.6	0.6	2.9	1.9	15.8	11.8	8.6	3.9	3.9	19.1	12.5	3.0	3.0	1.0	1.0	3.0	2.0	1.0	3.0	1.0	1.0	1.0	2.0	
#FF6666	8	M. klemmi	12.6	2.1	2.6	3.0	0.6	0.8	1.7	1.5	16.7	20.6	23.8	4.8	6.3	13.5	11.9	3.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	
