Color	PCH	ID	c1	Subclade	G_atrium_type	G_penis_types	G_epiphallus_type	G_penial_papilla_type	G_distal_vagina_type	G_proximal_vagina_type	S_neck	S_peristome_position	 S_lam_superior_vs_ spiralis 	S_lam_sub_ bending 	S_lunella_position 	S_plica_basalis	
Black	1	Montenegrina attemsi Mat-224-01	Montenegrina attemsi HNHM 94429	A	1,0	1,0	1,0	2,0	1,0	1,0	1,0	3,0	1,0	1,0	2,0	2,0	
Black	1	Montenegrina attemsi Mat-224-02	Montenegrina attemsi HNHM 94429	A	1,0	1,0	1,0	2,0	1,0	1,0	1,0	3,0	1,0	1,0	2,0	2,0	
Black	22	Montenegrina jakupicensis Mjk-425-01	Montenegrina jakupicensis HNHM 99520	A	2,0	4,0	1,0	3,0	5,0	1,0	2,0	3,0	1,0	1,0	2,0	3,0	
Black	22	Montenegrina jakupicensis Mjk-425-02	Montenegrina jakupicensis HNHM 99520	A	2,0	4,0	1,0	3,0	5,0	1,0	2,0	3,0	1,0	1,0	2,0	3,0	
Black	22	Montenegrina jakupicensis Mjk-425-04	Montenegrina jakupicensis HNHM 99520 	A	2,0	4,0	1,0	3,0	5,0	1,0	2,0	3,0	1,0	1,0	2,0	3,0	
#FFFFFD38	1	Montenegrina pifkoi Mpf-304-01	Montenegrina pifkoi HNHM99466	B	2,0	4,0	1,0	3,0	5,0	2,0	2,0	3,0	3,0	1,0	1,0	1,0	
#FFFFFD38	1	Montenegrina pifkoi Mpf-304	Montenegrina pifkoi HNHM99466	B	2,0	4,0	1,0	3,0	5,0	2,0	2,0	3,0	3,0	1,0	1,0	1,0	
#FFFFFD38	22	Montenegrina pindica Mpn-396-01	Montenegrina pindica HNHM 99524	B	3,0	6,0	1,0	3,0	2,0	2,0	2,0	3,0	1,0	1,0	1,0	1,0	
#FFFFFD38	22	Montenegrina pindica Mpn-396	Montenegrina pindica HNHM 99524	B	3,0	6,0	1,0	3,0	2,0	2,0	2,0	3,0	1,0	1,0	1,0	1,0	
#FFFFFD38	24	Montenegrina puskasi gulerulensis Mgu-249-01	Montenegrina puskasi gulerulensis HNHM 99461	B	3,0	6,0	1,0	3,0	3,0	2,0	2,0	2,0	1,0	1,0	1,0	1,0	
#FFFFFD38	24	Montenegrina puskasi gulerulensis Mgu-249	Montenegrina puskasi gulerulensis HNHM 99461	B	3,0	6,0	1,0	3,0	3,0	2,0	2,0	2,0	1,0	1,0	1,0	1,0	
#FFFFFD38	24	Montenegrina puskasi gulerulensis Mgu-631-01	Montenegrina puskasi gulerulensis NHMW111208	B	2,0	5,0	1,0	3,0	3,0	2,0	2,0	2,0	1,0	1,0	1,0	1,0	
#FFFFFD38	24	Montenegrina puskasi gulerulensis Mgu-631	Montenegrina puskasi gulerulensis NHMW111208	B	2,0	5,0	1,0	3,0	3,0	2,0	2,0	2,0	1,0	1,0	1,0	1,0	
#FFFFFD38	25	Montenegrina puskasi puskasi Mpu-627-01	Montenegrina puskasi puskasi NHMW 111207	B	3,0	6,0	1,0	3,0	3,0	2,0	2,0	3,0	1,0	1,0	1,0	1,0	
#FFFFFD38	25	Montenegrina puskasi puskasi Mpu-627	Montenegrina puskasi puskasi NHMW 111207	B	3,0	6,0	1,0	3,0	3,0	2,0	2,0	3,0	1,0	1,0	1,0	1,0	
#FFFFFD38	25	Montenegrina puskasi puskasi Mpu-627	Montenegrina puskasi puskasi NHMW 111207	B	3,0	6,0	1,0	3,0	3,0	2,0	2,0	3,0	1,0	1,0	1,0	1,0	
#FFFFFD38	23	Montenegrina remota Mre-459-01	Montenegrina remota HNHM99021	B	3,0	1,0	1,0	3,0	3,0	2,0	2,0	3,0	2,0	1,0	1,0	1,0	
#FFFFFD38	23	Montenegrina remota Mre-459	Montenegrina remota HNHM99021	B	3,0	1,0	1,0	3,0	3,0	2,0	2,0	3,0	2,0	1,0	1,0	1,0	
#FFFFFD38	8	Montenegrina skipetarica Msk-205-01	Montenegrina skipetarica HNHM 94914	B	1,0	1,0	4,0	6,0	1,0	1,0	2,0	3,0	1,0	1,0	1,0	1,0	
#FFFFFD38	8	Montenegrina skipetarica Msk-205	Montenegrina skipetarica HNHM 94914	B	1,0	1,0	4,0	6,0	1,0	1,0	2,0	3,0	1,0	1,0	1,0	1,0	
#FFFEBF3D	1	Montenegrina csikii Mck-275-02	Montenegrina csikii HNHM96845	C	2,0	1,0	1,0	3,0	3,0	2,0	1,0	3,0	3,0	1,0	1,0	1,0	
#FFFEBF3D	1	Montenegrina csikii Mck-275	Montenegrina csikii HNHM96845	C	2,0	1,0	1,0	3,0	3,0	2,0	1,0	3,0	3,0	1,0	1,0	1,0	
#FFFEBF3D	22	Montenegrina ersekensis Mek-477	Montenegrina ersekensis NHMW 110430/MN/0031	C	3,0	2,0	1,0	1,0	1,0	1,0	2,0	3,0	1,0	1,0	1,0	1,0	
#FFFEBF3D	22	Montenegrina ersekensis Mek-477-02	Montenegrina ersekensis NHMW 110430/MN/0031	C	3,0	2,0	1,0	1,0	1,0	1,0	2,0	3,0	1,0	1,0	1,0	1,0	
#FFFEBF3D	24	Montenegrina flava Mfl-428	Montenegrina flava HNHM99544	C	2,0	4,0	1,0	3,0	3,0	2,0	2,0	3,0	1,0	1,0	1,0	1,0	
#FFFEBF3D	24	Montenegrina flava Mfl-428-01	Montenegrina flava HNHM99544	C	2,0	4,0	1,0	3,0	3,0	2,0	2,0	3,0	1,0	1,0	1,0	1,0	
#FFFEBF3D	25	Montenegrina nobilis Mno-427	Montenegrina nobilis HNHM99536	C	2,0	2,0	1,0	2,0	5,0	2,0	2,0	3,0	1,0	1,0	1,0	1,0	
#FFFEBF3D	25	Montenegrina nobilis Mno-427-01	Montenegrina nobilis HNHM99536	C	2,0	2,0	1,0	2,0	5,0	2,0	2,0	3,0	1,0	1,0	1,0	1,0	
#FFFEBF3D	23	Montenegrina voidomatis konitsae Mkn-393	Montenegrina voidomatis konitsae HNHM99528	C	2,0	1,0	2,0	3,0	2,0	2,0	2,0	3,0	1,0	1,0	1,0	1,0	
#FFFEBF3D	23	Montenegrina voidomatis konitsae Mkn-393-01	Montenegrina voidomatis konitsae HNHM99528	C	2,0	1,0	2,0	3,0	2,0	2,0	2,0	3,0	1,0	1,0	1,0	1,0	
#FFFEBF3D	8	Montenegrina voidomatis thysi Mty-388-01	Montenegrina voidomatis thysi HNHM99632	C	2,0	1,0	3,0	3,0	3,0	3,0	2,0	3,0	2,0	1,0	1,0	1,0	
#FFFEBF3D	8	Montenegrina voidomatis thysi Mty-388	Montenegrina voidomatis thysi HNHM99632	C	2,0	1,0	3,0	3,0	3,0	3,0	2,0	3,0	2,0	1,0	1,0	1,0	
#FFFEBF3D	5	Montenegrina voidomatis voidomatis Mvo-389-01	Montenegrina voidomatis voidomatis HNHM99529	C	3,0	4,0	3,0	3,0	3,0	2,0	2,0	3,0	2,0	1,0	1,0	1,0	
#FFFEBF3D	5	Montenegrina voidomatis voidomatis Mvo-389	Montenegrina voidomatis voidomatis HNHM99529	C	3,0	4,0	3,0	3,0	3,0	2,0	2,0	3,0	2,0	1,0	1,0	1,0	
#FFFFCDA8	1	Montenegrina edmundi Mem-387-02	Montenegrina edmundi HNHM99697	D1	2,0	2,0	1,0	6,0	1,0	1,0	2,0	3,0	1,0	1,0	1,0	1,0	
#FFFFCDA8	1	Montenegrina edmundi Mem-387	Montenegrina edmundi HNHM99697	D1	2,0	2,0	1,0	6,0	1,0	1,0	2,0	3,0	1,0	1,0	1,0	1,0	
#FFFFCDA8	22	Montenegrina fuchsi Mfu-474-02	Montenegrina fuchsi fuchsi NHMW 110430/MN/0036	D1	3,0	2,0	1,0	4,0	2,0	2,0	1,0	1,0	1,0	1,0	1,0	1,0	
#FFFFCDA8	22	Montenegrina fuchsi Mfu-474	Montenegrina fuchsi fuchsi NHMW 110430/MN/0036	D1	3,0	2,0	1,0	4,0	2,0	2,0	1,0	1,0	1,0	1,0	1,0	1,0	
#FFFFCDA8	22	Montenegrina fuchsi Mfu-474	Montenegrina fuchsi fuchsi NHMW 110430/MN/0036	D1	3,0	2,0	1,0	4,0	2,0	2,0	1,0	1,0	1,0	1,0	1,0	1,0	
#FFFFCDA8	24	Montenegrina golikutensis Mgo-473-01	Montenegrina golikutensis NHMW 111215	D1	1,0	1,0	1,0	6,0	1,0	1,0	2,0	3,0	2,0	1,0	1,0	2,0	
#FFFFCDA8	24	Montenegrina golikutensis Mgo-473	Montenegrina golikutensis NHMW 111215	D1	1,0	1,0	1,0	6,0	1,0	1,0	2,0	3,0	2,0	1,0	1,0	2,0	
#FFFFCDA8	25	Montenegrina gregoi Mgr-375-01	Montenegrina gregoi HNHM 99475	D1	1,0	1,0	1,0	6,0	1,0	1,0	2,0	3,0	2,0	1,0	1,0	1,0	
#FFFFCDA8	25	Montenegrina gregoi Mgr-375	Montenegrina gregoi HNHM 99475	D1	1,0	1,0	1,0	6,0	1,0	1,0	2,0	3,0	2,0	1,0	1,0	1,0	
#FFFFCDA8	23	Montenegrina janinensis Mjn-384-01	Montenegrina janinensis crassilabris HNHM99561	D1	3,0	4,0	1,0	3,0	3,0	2,0	1,0	3,0	1,0	1,0	1,0	2,0	
#FFFFCDA8	23	Montenegrina janinensis Mjn-384	Montenegrina janinensis crassilabris HNHM99561	D1	3,0	4,0	1,0	3,0	3,0	2,0	1,0	3,0	1,0	1,0	1,0	2,0	
#FFFFCDA8	23	Montenegrina janinensis Mjn-383-01	Montenegrina janinensis HNHM99560	D1	3,0	3,0	1,0	1,0	3,0	2,0	1,0	3,0	1,0	1,0	1,0	2,0	
#FFFFCDA8	23	Montenegrina janinensis Mjn-383	Montenegrina janinensis HNHM99560	D1	3,0	3,0	1,0	1,0	3,0	2,0	1,0	3,0	1,0	1,0	1,0	2,0	
#FFFFCDA8	8	Montenegrina klemmi Mkl-472-01	Montenegrina klemmi NHMW 110430/MN/0037 	D1	3,0	2,0	1,0	1,0	1,0	1,0	1,0	2,0	1,0	1,0	1,0	1,0	
#FFFFCDA8	8	Montenegrina klemmi Mkl-472	Montenegrina klemmi NHMW 110430/MN/0037 	D1	3,0	2,0	1,0	1,0	1,0	1,0	1,0	2,0	1,0	1,0	1,0	1,0	
#FFFFCDA8	5	Montenegrina lambdaformis welterschultesi Mwe-350	Montenegrina lambdaformis welterschultesi NHMW110430MN0316	D1	2,0	5,0	1,0	3,0	1,0	2,0	2,0	3,0	1,0	1,0	1,0	1,0	
#FFFFCDA8	5	Montenegrina lambdaformis welterschultesi Mwe-350-01	Montenegrina lambdaformis welterschultesi NHMW110430MN0316	D1	2,0	5,0	1,0	3,0	1,0	2,0	2,0	3,0	1,0	1,0	1,0	1,0	
#FFFFCDA8	2	Montenegrina pallida Mpa-392-01	Montenegrina pallida NHNM9566	D1	2,0	4,0	1,0	2,0	3,0	1,0	1,0	2,0	1,0	1,0	1,0	1,0	
#FFFFCDA8	2	Montenegrina pallida Mpa-392	Montenegrina pallida NHNM9566	D1	2,0	4,0	1,0	2,0	3,0	1,0	1,0	2,0	1,0	1,0	1,0	1,0	
#FFFFCDA8	6	Montenegrina rugilabris irmengardis Mir-376	Montenegrina rugilabris irmengardis HNHM99552	D1	2,0	5,0	1,0	3,0	3,0	2,0	2,0	3,0	1,0	1,0	1,0	1,0	
#FFFFCDA8	6	Montenegrina rugilabris irmengardis Mir-376-01	Montenegrina rugilabris irmengardis HNHM99552	D1	2,0	5,0	1,0	3,0	3,0	2,0	2,0	3,0	1,0	1,0	1,0	1,0	
#FFFFCDA8	0	Montenegrina rugilabris rugilabris Mrl-381-01	Montenegrina rugilabris rugilabris HNHM99547	D1	3,0	3,0	1,0	2,0	3,0	2,0	2,0	3,0	1,0	1,0	1,0	2,0	
#FFFFCDA8	0	Montenegrina rugilabris rugilabris Mrl-381	Montenegrina rugilabris rugilabris HNHM99547	D1	3,0	3,0	1,0	2,0	3,0	2,0	2,0	3,0	1,0	1,0	1,0	2,0	
#FFB15200	1	Montenegrina dofleini dofleini Mdo-537-01	Montenegrina dofleini dofleini NHMW 110430/MN/0040 	D2	2,0	4,0	1,0	2,0	3,0	2,0	2,0	3,0	2,0	2,0	1,0	2,0	
#FFB15200	1	Montenegrina dofleini dofleini Mdo-537	Montenegrina dofleini dofleini NHMW 110430/MN/0040 	D2	2,0	4,0	1,0	2,0	3,0	2,0	2,0	3,0	2,0	2,0	1,0	2,0	
#FFB15200	22	Montenegrina dofleini fagorum Mfa-507-01	Montenegrina dofleini fagorum NHMW110430MN0052	D2	2,0	5,0	1,0	3,0	2,0	2,0	1,0	3,0	2,0	2,0	1,0	3,0	
#FFB15200	22	Montenegrina dofleini fagorum Mfa-507	Montenegrina dofleini fagorum NHMW110430MN0052	D2	2,0	5,0	1,0	3,0	2,0	2,0	1,0	3,0	2,0	2,0	1,0	3,0	
#FFB15200	22	Montenegrina dofleini fagorum Mfa-507	Montenegrina dofleini fagorum NHMW110430MN0052	D2	2,0	5,0	1,0	3,0	2,0	2,0	1,0	3,0	2,0	2,0	1,0	3,0	
#FFB15200	24	Montenegrina kastoriae kastoriae Mks-401-01	Montenegrina kastoriae kastoriae NHMW 110430/MN/0050	D2	3,0	2,0	1,0	3,0	3,0	2,0	2,0	3,0	1,0	2,0	1,0	3,0	
#FFB15200	24	Montenegrina kastoriae kastoriae Mks-401	Montenegrina kastoriae kastoriae NHMW 110430/MN/0050	D2	3,0	2,0	1,0	3,0	3,0	2,0	2,0	3,0	1,0	2,0	1,0	3,0	
#FFB15200	25	Montenegrina kastoriae robusta Mro-554	Montenegrina kastoriae robusta NHMW 110430/MN/0118	D2	3,0	2,0	1,0	3,0	2,0	2,0	2,0	3,0	1,0	1,0	1,0	1,0	
#FFB15200	25	Montenegrina kastoriae robusta Mro-554-01	Montenegrina kastoriae robusta NHMW 110430/MN/0118	D2	3	2	1	3	2	2	2	3	1	1	1	1	
#FFB15200	23	Montenegrina pinteri Mpi-508-03	Montenegrina pinteri NHMW 110430MN0052 HNHM 99560	D2	2,0	5,0	1,0	3,0	3,0	2,0	2,0	3,0	1,0	2,0	1,0	2,0	
#FFB15200	23	Montenegrina pinteri Mp1-508-02	Montenegrina pinteri NHMW 110430MN0052 HNHM 99560	D2	2,0	5,0	1,0	3,0	3,0	2,0	2,0	3,0	1,0	2,0	1,0	2,0	
#FFB15200	8	Montenegrina prespaensis prespaensis Mds-616-02	Montenegrina prespaensis NHMW110430MN0134	D2	3,0	2,0	1,0	3,0	3,0	2,0	2,0	3,0	3,0	1,0	1,0	1,0	
#FFB15200	8	Montenegrina prespaensis prespaensis Mds-616	Montenegrina prespaensis NHMW110430MN0134	D2	3,0	2,0	1,0	3,0	3,0	2,0	2,0	3,0	3,0	1,0	1,0	1,0	
#FFB15200	8	Montenegrina prespaensis prespaensis Mpr-110-01	Montenegrina prespaensis prespaensis HNHM12040	D2	3,0	5,0	1,0	2,0	5,0	2,0	2,0	3,0	3,0	2,0	1,0	3,0	
#FFB15200	8	Montenegrina prespaensis prespaensis Mpr-110	Montenegrina prespaensis prespaensis HNHM12040	D2	3,0	5,0	1,0	2,0	5,0	2,0	2,0	3,0	3,0	2,0	1,0	3,0	
#FFB15200	8	Montenegrina prespaensis prespaensis mpr-110	Montenegrina prespaensis prespaensis HNHM12040	D2	3,0	5,0	1,0	2,0	5,0	2,0	2,0	3,0	3,0	2,0	1,0	3,0	
