taxon_1	taxon_2	distance_KM	DNA	Morph
Mdo_537_01	Mfa_507_01	6.2	0.114889443	0.59095317
Mdo_537_01	Mks_401_01	63.4	0.118347657	0.40627795
Mdo_537_01	Mro_554_01	47	0.087475877	0.53529896
Mdo_537_01	Mpi_508_01	6.4	0.252737967	0.5995386
Mdo_537_01	Mpi_508_03	6.4	0.188084015	0.62732949
Mdo_537_01	Mpr_404_03	20.5	0.090348486	0.46006322
Mdo_537_01	Msi_553_01	28.2	0.100487495	0.56884876
Mdo_537_01	Msi_553_05	28.2	0.090319187	0.61791785
Mdo_537_01	Mst_510_01	13.9	0.112537297	0.6709827
Mem_387_02	Mfu_474_02	68.8	0.117044616	0.76986744
Mem_387_02	Mgo_473_01	68.9	0.092025055	0.5570257
Mem_387_02	Mgr_375_01	57.8	0.142831967	1.0215193
Mem_387_02	Mjn_382_02	33.9	0.093498211	0.9779835
Mem_387_02	Mjn_383_01	33.9	0.090179763	0.72529223
Mem_387_02	Mwe_350_01	50.2	0.11285374	0.50795586
Mem_387_02	Mpa_392_01	36.1	0.110674831	1.2347275
Mem_387_02	Mir_376_01	49.1	0.104510344	0.80344935
Mem_387_02	Mrl_381_01	37.7	0.104510344	0.80344935
Mem_387_02	Mdo_537_01	144.6	0.135072925	0.61355974
Mem_387_02	Mfa_507_01	139.3	0.125036637	0.97730013
Mem_387_02	Mks_401_01	113.2	0.104813116	0.79126666
Mem_387_02	Mro_554_01	119.6	0.106525475	0.6822127
Mem_387_02	Mpi_508_01	138.1	0.110158776	0.97112296
Mem_387_02	Mpi_508_03	138.1	0.110158776	0.87732652
Mem_387_02	Mpr_404_03	135.3	0.102924747	0.59238351
Mem_387_02	Msi_553_01	130.9	0.102814472	0.9972537
Mem_387_02	Msi_553_05	130.9	0.102890905	1.0485953
Mem_387_02	Mst_510_01	156.6	0.124094056	0.6496699
Mfa_507_01	Mks_401_01	63.6	0.113535117	0.54844018
Mfa_507_01	Mro_554_01	48.3	0.099037019	0.56271948
