Color	Shape	ID	c1	Subclade	SH	W	SMW	BWH	AH	AW	OA	LA	PC	PCRL	P	PRL	E	ERL	V	VRL	FO	FORL	DBC	DBCRL	D	DRL	BC	BCRL	atrium_type_simplified	penis_types_simplified	epiphallus_type_simplified	penial_papilla_type_simplified	distal_vagina_type_simplified	proximal_vagina_type_simplified	1 neck_inflection	4 peristome_position	 5 lam_superior_vs_ spiralis 	7 lam_sub_ bending 	8 lunella_position 	9 plica_basalis	
Black	Dot	Montenegrina attemsi HNHM 94429	Montenegrina attemsi HNHM 94429	A	13.5	10.5	3.4	4.5	3.1	2.4	63.5	74.5	2.4	17.8	1.2	8.9	1.2	8.9	0.8	5.9	0.3	2.2	0.3	2.2	1.8	13.3	0.8	5.9	1.0	1.0	1.0	2.0	1.0	1.0	1.0	3.0	1.0	1.0	2.0	2.0	
Black	Dot	Montenegrina attemsi HNHM 94429	Montenegrina attemsi HNHM 94429	A	13.3	10.4	3.1	4.9	3.6	2.6	62.9	74.0	2.3	17.3	1.2	9.0	1.2	9.0	0.8	6.0	0.3	2.3	0.4	3.0	1.8	13.5	0.8	6.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	3.0	1.0	1.0	2.0	2.0	
Black	Fill square	Montenegrina jakupicensis HNHM 99520	Montenegrina jakupicensis HNHM 99520	A	12.8	10.2	3.3	4.1	2.9	2.4	71.5	76.6	3.7	29.1	1.1	8.7	2.8	22.0	1.3	10.2	0.3	2.4	0.8	6.3	1.9	15.0	2.1	16.5	2.0	4.0	1.0	3.0	5.0	1.0	2.0	3.0	1.0	1.0	2.0	3.0	
Black	Fill square	Montenegrina jakupicensis HNHM 99520	Montenegrina jakupicensis HNHM 99520	A	12.7	10.8	3.3	4.0	2.9	2.3	71.4	76.7	3.8	29.7	1.1	8.6	2.7	21.1	1.2	9.4	0.3	2.3	0.7	5.5	1.8	14.1	2.3	18.0	2.0	4.0	1.0	3.0	5.0	1.0	2.0	3.0	1.0	1.0	2.0	3.0	
Black	Fill square	Montenegrina jakupicensis HNHM 99520 	Montenegrina jakupicensis HNHM 99520 	A	12.8	10.5	3.3	4.1	2.9	2.4	71.5	76.7	3.8	29.7	1.0	7.8	2.8	21.9	1.3	10.2	0.3	2.3	0.7	5.5	1.8	14.1	2.2	17.2	2.0	4.0	1.0	3.0	5.0	1.0	2.0	3.0	1.0	1.0	2.0	3.0	
#FFFFFD38	Dot	Montenegrina pifkoi HNHM99466	Montenegrina pifkoi HNHM99466	B	15.1	9.6	3.9	4.9	3.4	2.8	56.1	80.0	3.8	25.2	1.7	11.3	2.1	13.9	2.5	16.6	0.6	4.0	0.8	5.3	2.3	15.2	2.1	13.9	2.0	4.0	1.0	3.0	5.0	2.0	2.0	3.0	3.0	1.0	1.0	1.0	
#FFFFFD38	Dot	Montenegrina pifkoi HNHM99466	Montenegrina pifkoi HNHM99466	B	14.8	9.4	3.8	4.7	3.3	2.6	55.5	79.1	3.9	26.2	1.8	12.1	2.2	14.8	2.6	17.4	0.8	5.4	0.8	5.4	2.3	15.4	2.0	13.4	2.0	4.0	1.0	3.0	5.0	2.0	2.0	3.0	3.0	1.0	1.0	1.0	
#FFFFFD38	Fill square	Montenegrina pindica HNHM 99524	Montenegrina pindica HNHM 99524	B	15.4	10.1	3.2	4.8	3.3	3.1	65.5	99.3	4.7	30.5	2.5	16.2	2.2	14.3	3.0	19.5	0.7	4.5	0.8	5.2	1.9	12.3	1.7	11.0	3.0	6.0	1.0	3.0	2.0	2.0	2.0	3.0	1.0	1.0	1.0	1.0	
#FFFFFD38	Fill square	Montenegrina pindica HNHM 99524	Montenegrina pindica HNHM 99524	B	15.8	10.0	3.4	4.9	3.3	3.3	64.9	98.6	4.7	29.7	2.6	16.5	2.3	14.6	2.8	17.7	0.6	3.8	0.8	5.1	2.0	12.7	1.8	11.4	3.0	6.0	1.0	3.0	2.0	2.0	2.0	3.0	1.0	1.0	1.0	1.0	
#FFFFFD38	Fill triang	Montenegrina puskasi gulerulensis HNHM 99461	Montenegrina puskasi gulerulensis HNHM 99461	B	22.8	10.2	4.4	5.2	4.4	3.4	73.0	84.4	3.1	13.6	1.1	4.8	2.0	8.8	3.1	13.6	0.8	3.5	0.7	3.1	1.2	5.3	2.3	10.1	3.0	6.0	1.0	3.0	3.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	
